date,deal_id,target,alert_type,detail,resolved
2026-07-16,1,Spire Healthcare Group,NEGATIVE_SPREAD,Target trading ABOVE deal price (spread: -98.9%). Possible competing bid or deal re-rating.,No
2026-07-16,2,Tate & Lyle PLC,NEGATIVE_SPREAD,Target trading ABOVE deal price (spread: -98.9%). Possible competing bid or deal re-rating.,No
2026-07-16,3,Beazley PLC,NEGATIVE_SPREAD,Target trading ABOVE deal price (spread: -99.0%). Possible competing bid or deal re-rating.,No
2026-07-16,4,Intertek Group PLC,NEGATIVE_SPREAD,Target trading ABOVE deal price (spread: -99.0%). Possible competing bid or deal re-rating.,No
2026-07-16,1,Spire Healthcare Group,SPREAD_WIDENING,Spread widened +14.9pp today (0.0% -> 14.9%). Possible deal stress.,No
2026-07-16,2,Tate & Lyle PLC,SPREAD_WIDENING,Spread widened +9.9pp today (0.0% -> 9.9%). Possible deal stress.,No
2026-07-16,4,Intertek Group PLC,SPREAD_WIDENING,Spread widened +3.1pp today (0.0% -> 3.1%). Possible deal stress.,No
2026-07-16,1,Spire Healthcare Group,NEGATIVE_SPREAD,Target trading ABOVE deal price (spread: -98.9%). Possible competing bid or deal re-rating.,No
2026-07-16,2,Tate & Lyle PLC,NEGATIVE_SPREAD,Target trading ABOVE deal price (spread: -98.9%). Possible competing bid or deal re-rating.,No
2026-07-16,3,Beazley PLC,NEGATIVE_SPREAD,Target trading ABOVE deal price (spread: -99.0%). Possible competing bid or deal re-rating.,No
2026-07-16,4,Intertek Group PLC,NEGATIVE_SPREAD,Target trading ABOVE deal price (spread: -99.0%). Possible competing bid or deal re-rating.,No
2026-07-16,1,Spire Healthcare Group,NEGATIVE_SPREAD,Target trading ABOVE deal price (spread: -98.9%). Possible competing bid or deal re-rating.,No
2026-07-16,2,Tate & Lyle PLC,NEGATIVE_SPREAD,Target trading ABOVE deal price (spread: -98.9%). Possible competing bid or deal re-rating.,No
2026-07-16,3,Beazley PLC,NEGATIVE_SPREAD,Target trading ABOVE deal price (spread: -99.0%). Possible competing bid or deal re-rating.,No
2026-07-16,4,Intertek Group PLC,NEGATIVE_SPREAD,Target trading ABOVE deal price (spread: -99.0%). Possible competing bid or deal re-rating.,No
2026-07-16,1,Spire Healthcare Group,SPREAD_WIDENING,Spread widened +14.7pp today (0.0% -> 14.7%). Possible deal stress.,No
2026-07-16,2,Tate & Lyle PLC,SPREAD_WIDENING,Spread widened +9.9pp today (0.0% -> 9.9%). Possible deal stress.,No
2026-07-16,4,Intertek Group PLC,SPREAD_WIDENING,Spread widened +3.0pp today (0.0% -> 3.0%). Possible deal stress.,No
2026-07-22,1,Spire Healthcare Group,SPREAD_WIDENING,Spread widened +11035.9pp today (0.0% -> 11035.9%). Possible deal stress.,No
2026-07-22,2,Tate & Lyle PLC,SPREAD_WIDENING,Spread widened +10882.9pp today (0.0% -> 10882.9%). Possible deal stress.,No
2026-07-22,3,Beazley PLC,SPREAD_WIDENING,Spread widened +10066.9pp today (0.0% -> 10066.9%). Possible deal stress.,No
2026-07-22,4,Intertek Group PLC,SPREAD_WIDENING,Spread widened +10209.3pp today (0.0% -> 10209.3%). Possible deal stress.,No
2026-07-22,5,Rotork PLC,SPREAD_WIDENING,Spread widened +10328.7pp today (0.0% -> 10328.7%). Possible deal stress.,No
2026-07-22,7,easyJet PLC,SPREAD_WIDENING,Spread widened +10694.1pp today (0.0% -> 10694.1%). Possible deal stress.,No
2026-07-22,8,Ramsdens Holdings PLC,SPREAD_WIDENING,Spread widened +10046.6pp today (0.0% -> 10046.6%). Possible deal stress.,No
2026-07-22,1,Spire Healthcare Group,SPREAD_WIDENING,Spread widened +24.9pp today (11035.9% -> 11060.7%). Possible deal stress.,No
2026-07-22,8,Ramsdens Holdings PLC,SPREAD_WIDENING,Spread widened +19.1pp today (10046.6% -> 10065.7%). Possible deal stress.,No
2026-07-22,9,DCC PLC,SPREAD_WIDENING,Spread widened +7.7pp today (0.0% -> 7.7%). Possible deal stress.,No
