date,nav,open_positions,closed_positions,total_return_pct,win_rate,avg_gain_pct,avg_loss_pct
2026-07-12,10000.0,0,0,0.0,,,
2026-07-13,10000.0,0,0,0.0,,,
2026-07-14,10000.0,0,0,0.0,,,
2026-07-15,10000.0,0,0,0.0,,,
2026-07-16,10000.0,0,0,0.0,,,
2026-07-17,13999.21,4,0,39.9921,,,
2026-07-20,13988.81,4,0,39.8881,,,
2026-07-21,10000.0,7,0,0.0,,,
2026-07-22,-676920.7972,7,0,-6869.208,,,
2026-07-23,10000.0,8,0,0.0,,,
2026-07-24,10065.479,9,0,0.6548,,,
2026-07-27,10065.479,9,0,0.6548,,,
2026-07-28,10065.479,9,0,0.6548,,,
2026-07-29,10065.479,9,0,0.6548,,,
2026-07-30,10065.479,9,0,0.6548,,,
2026-07-31,10065.479,9,0,0.6548,,,
2026-08-02,10130.697000000002,9,0,1.307,,,
2026-08-03,10130.697000000002,9,0,1.307,,,
2026-08-04,10130.697000000002,9,0,1.307,,,
2026-08-05,10130.697000000002,9,0,1.307,,,
2026-08-06,10130.697000000002,9,0,1.307,,,
2026-08-07,10130.697000000002,9,0,1.307,,,
2026-08-08,10235.115000000002,8,1,2.3512,0.0,0.0,-1.43
2026-08-10,10235.115000000002,8,1,2.3512,0.0,0.0,-1.43
2026-08-11,10235.115000000002,8,1,2.3512,0.0,0.0,-1.43
